用例ID	优先级	模块	用例标题	类型	云端适用性	前置条件	测试数据/参数	测试步骤	预期结果	自动化建议	状态	执行层级	负责人	最近执行日期	缺陷ID	证据链接	备注
TUN-005	P0	核心调参	保存与刷新持久性	闭环	适用	项目可保存	位置、缩放、旋转、参考帧	修改；点击“保存调参”；刷新	显示“已保存”；刷新后所有值一致	Playwright	通过	PR	待分配	2026-08-10	BUG-20260810-002（已修复）	docs/qa/2026-08-09-全链路测试执行记录.md	已修复并复测：帧变换与参考帧描述符均写入 tuning；加载时按 profile/animation/frame 重建冻结图片快照。18 条定向单元和永久 Edge 保存刷新回归通过；失效描述符安全清空。
TUN-006	P1	核心调参	保存修订冲突重试	异常	本地优先	拦截第一次保存返回 409	forced conflict	修改并保存两次	第一次显示冲突且保持脏状态；第二次成功	Playwright route mock	未执行	Nightly	待分配	—	—	—	API/本地环境优先
TUN-007	P0	核心调参	组总时长	参数化	适用	4 帧动画	1 ms、1000 ms	设置动画时长	总时长达到目标；各可播放帧按比例分配且不低于 1 ms	单元+Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 4 帧动画设置 1000 ms 后 UI 精确保持；定向 timing 单元覆盖最小 1 ms、时长单位/FPS 换算及禁用帧排除。
TUN-008	P0	核心调参	单帧时长与冲突确认	异常	适用	组已有总时长覆盖	时间轴 +10 ms	修改单帧时长；取消一次；再确认	取消保持原值；确认清除组时长覆盖并应用帧时长	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 组时长 1000 ms 后点当前帧 +10 ms：取消保持原时长和组覆盖；再次确认后帧时长变化并清除冲突；单元同步覆盖。
TUN-009	P0	核心调参	禁用帧播放	正向	适用	3 帧动画	禁用第 2 帧	勾选“禁用此帧”；播放	播放跳过第 2 帧；时间轴显示禁用状态；保存后保持	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 第 2 帧禁用后时间轴显示 disabled，保存刷新后状态与复选框保持；playback 定向单元验证播放 helpers 跳过禁用帧。
TUN-010	P1	核心调参	参考帧与残影	正向	适用	至少 2 帧	第 1 帧为参考	设参考帧；切到第 2 帧；切换残影	残影显示参考帧；关闭后隐藏；状态保存	视觉回归	未执行	Nightly	待分配	—	—	—	—
TUN-011	P0	核心调参	多帧选择和删除	破坏性	适用	3 帧动画	Shift 连选 2 帧	多选；删除；先取消再确认	取消保持 3 帧；确认删除所选但禁止删光动画	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 4 帧 Shift 连选前 2 帧，取消删除保持 4 帧，确认后仅剩 2 帧；既有移动端回归另验证删光转为独立删除动画确认。
TUN-012	P1	核心调参	撤销重做快捷键	键盘	适用	工作台已加载	Cmd/Ctrl+Z、Cmd/Ctrl+Shift+Z	连续两次修改；撤销两次；重做两次	状态、画布和保存标记同步；无越界异常	Playwright	未执行	Nightly	待分配	—	—	—	—
TUN-013	P1	核心调参	焦点控件空格行为	可访问性	适用	工作台已加载	Space	聚焦帧卡、按钮、链接分别按 Space	执行控件原生行为；不误启动播放	Playwright	未执行	Nightly	待分配	—	—	—	—
TUN-014	P2	核心调参	主题和布局偏好	状态	适用	允许 localStorage	深色/浅色/彩蛋；侧栏；单行/总览	切换并刷新	偏好刷新后保持；无布局溢出	Playwright+视觉	未执行	Nightly	待分配	—	—	—	—
BOX-001	P0	碰撞框	三类框显示选择	参数化	适用	动画有自动框	受击框、攻击框、碰撞框	开启显示；单独及组合勾选	只绘制选中类型；颜色/标识可区分	Playwright+视觉	通过	Release	待分配	2026-08-10	—	—	攻击动画 Edge 会话中受击框、攻击框、碰撞框三项均 enabled，可单独/组合选中；定向渲染/选择单元验证类型过滤、颜色和选中顺序。
BOX-002	P0	碰撞框	启用禁用当前框	正向	适用	当前帧选中 hurtbox	开/关	切换“启用当前框体”；保存刷新	画布和数据同步；刷新后保持	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 选中 hurtbox 后禁用，保存刷新后仍为禁用；框模型与调整定向单元验证数据/画布同步。
BOX-003	P0	碰撞框	拖动与缩放框体	交互	适用	框体可见	移动 20 px；缩到 1×1	拖动主体和控制柄	坐标和尺寸准确；最小不小于 1×1；无反转 NaN	Playwright	通过	Release	待分配	2026-08-10	—	—	box geometry/transform/adjustment 定向单元覆盖屏幕到局部移动、缩放/旋转增量、控制柄命中、最小尺寸和有限数值不反转；相关 20 余项全部通过。
BOX-004	P1	碰撞框	框体随三层变换	数据完整性	适用	手调框已保存	角色/组/帧缩放	分别改变三层缩放	框体世界位置/尺寸按语义同步；保存值不重复缩放	单元+视觉	未执行	Nightly	待分配	—	—	—	Pro
BOX-005	P0	碰撞框	恢复自动框	正向	适用	当前帧框体已手调	恢复自动框	点击按钮；确认结果	手调覆盖移除；回到基于可见区域的自动框	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 禁用并保存 hurtbox 后点击“恢复自动框”，启用状态立即恢复；box defaults 单元验证基于可见区域生成自动框。
MED-001	P0	附件与音效	图片拖入当前帧	闭环	适用	当前帧可编辑	PNG 附件	拖到帧卡；移动/缩放；保存刷新	挂件出现且独立变换；刷新后恢复	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 将 PNG 拖入当前帧，附件出现，保存刷新后恢复；attachment manipulation 单元覆盖独立移动、滚轮缩放/旋转和缩放约束。
MED-002	P1	附件与音效	素材库应用序列	正向	适用	素材库有 3 张图；选择 3 帧	3 图→3 帧	全选素材；点击“应用序列”	按顺序绑定；每帧附件正确	Playwright	未执行	Nightly	待分配	—	—	—	Pro
MED-003	P1	附件与音效	附件图层顺序	交互	适用	同帧有 2 个附件	上移/下移	点击图层操作并观察画布	渲染顺序和列表顺序同步；保存后保持	Playwright+视觉	未执行	Nightly	待分配	—	—	—	Pro
MED-004	P0	附件与音效	音频绑定和删除	闭环	适用	当前帧可编辑	合法 WAV	拖入帧卡；保存刷新；点击 SFX 徽标取消/确认删除	绑定状态保存；取消不删；确认后删除	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 合法 WAV 拖入后 SFX 状态保存刷新保持；点击徽标取消保留，确认后删除；frame audio 定向单元同步通过。
MED-005	P1	附件与音效	非法附件和音频	异常	适用	当前帧可编辑	损坏 PNG、非音频文本	拖入帧卡	拒绝并提示；原绑定不受影响	Playwright	未执行	Nightly	待分配	—	—	—	Pro
TRL-001	P0	攻击拖尾	新手引导	正向	适用	攻击组支持拖尾	无	打开引导；下一步/上一步；定位；关闭	步骤和定位正确；焦点可用	Playwright	通过	Release	待分配	2026-08-10	—	—	Edge 攻击动画打开 5 步引导，01→02→01、定位并自动关闭成功，目标高亮唯一；guide 定向单元验证顺序和边界。
TRL-002	P0	攻击拖尾	关键帧棍子闭环	正向	适用	至少 3 帧攻击动画	起始帧和结束帧	开启拖尾；两帧分别加棍；拖动端点；播放	棍子保存；中间帧插值生成连续拖尾	Playwright+视觉	通过	Release	待分配	2026-08-10	—	—	Edge 3 帧 slash-attack 在第 1/3 帧添加棍子并保存，API 持久化 sticks.frame=[0,2]；拖尾定向单元验证关键区间插值和活动段采样。
TRL-003	P1	攻击拖尾	棍子删除与图层切换	正向	适用	当前帧已有棍子	角色前/后	切换图层；翻转贴图；删除当前棍子	渲染层和方向改变；删除仅影响当前棍子	Playwright	未执行	Nightly	待分配	—	—	—	Pro
TRL-004	P1	攻击拖尾	拖尾 PNG 管理	正向	适用	拖尾模式已开启	合法 PNG、非 PNG	选择合法 PNG；尝试非法文件；恢复默认	合法预览生效；非法拒绝；恢复后使用默认贴图	Playwright	未执行	Nightly	待分配	—	—	—	Pro
TRL-005	P1	攻击拖尾	头部弧度边界	边界	适用	拖尾 PNG 已加载	-100、0、100	逐个设置并预览	边界值接受；形状变化连续；无画布越界异常	视觉+单元	未执行	Nightly	待分配	—	—	—	Pro
TRL-006	P1	攻击拖尾	颜色模式	参数化	适用	拖尾可见	单色、渐变、贴图原色	切换模式；选择颜色；从角色吸色	每种模式渲染正确；吸色更新颜色值	Playwright+视觉	未执行	Nightly	待分配	—	—	—	Pro
TRL-007	P1	攻击拖尾	渐变节点编辑	交互	适用	颜色模式为渐变	0%、50%、100% 节点	添加/选择节点；改色；删除中间节点	渐变更新；端点约束合理；当前节点状态准确	Playwright	未执行	Nightly	待分配	—	—	—	Pro
TRL-008	P1	攻击拖尾	时间与质量边界	参数化	适用	拖尾已建立	前 0/60000；后 1/60000；采样 4/8；细腻 8/96；渐隐 0/95	逐项输入最小/最大并播放	全部边界可接受；摘要和渲染更新；无性能崩溃	单元+Playwright	未执行	Nightly	待分配	—	—	—	Pro
TRL-009	P1	攻击拖尾	预设保存删除	状态	适用	已编辑拖尾	名称 60 字符	保存预设；切换；删除	60 字符接受；参数完整恢复；删除不影响其他预设	Playwright	未执行	Nightly	待分配	—	—	—	Pro
SCT-001	P0	零散切片	图片载入三种方式	输入方式	适用	打开切片页	PNG/JPEG/WebP	文件选择、拖放、粘贴分别测试	均能加载并显示尺寸；旧素材替换规则明确	Playwright	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 真实文件输入精确通过：PNG、JPEG、WebP 均显示文件名与尺寸，连续替换沿用明确的自定义名称保留规则。
SCT-002	P0	零散切片	文件大小边界	边界	适用	切片页已加载	20 MB、20 MB+1 byte	分别导入	20 MB 接受（若像素预算合法）；超出显示“图片不能超过 20 MB”	单元+Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 精确边界通过：合法 PNG 补齐至 20 MB 可载入；20 MB+1 byte 被阻止，提示“图片不能超过 20 MB”，旧素材保持。
SCT-003	P0	零散切片	像素预算边界	边界	适用	可生成测试图片	2000 万、2000 万+1 像素	分别导入	边界内接受；超出提示 2000 万像素限制；无内存崩溃	单元	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 精确边界通过：5000×4000（2000 万像素）载入；5001×4000 被阻止并提示 2000 万像素限制；随后可继续载入小图。
SCT-004	P0	零散切片	三种检测模式	参数化	适用	含透明和纯色背景的散图	智能、Alpha、背景色键	分别检测	生成合理切片；模式文案和状态正确	单元+Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 与核心单元覆盖智能、Alpha、背景色键三种模式；模式状态、网格过滤和切片结果通过。
SCT-005	P1	零散切片	背景取色	正向	适用	背景色键模式	#98d79b 与画布样本	颜色框修改；画布点击取色；检测	颜色值同步为大写显示；检测使用新颜色	Playwright	未执行	Nightly	待分配	—	—	—	—
SCT-006	P0	零散切片	切片编辑与添加	交互	适用	检测到至少 2 框	移动、缩放、新增框	进入编辑/添加模式操作	坐标尺寸更新；新增框进入分组；不可缩成非法尺寸	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 真实画布拖动、八向缩放、新增/删除框通过；边界夹紧和非法尺寸由编辑核心单元覆盖。
SCT-007	P1	零散切片	多选与历史	键盘	适用	至少 5 个框	Cmd/Ctrl、Shift、撤销/重做	切换选择、连续选择、移动后撤销重做	选择语义和历史恢复正确	Playwright	未执行	Nightly	待分配	—	—	—	—
SCT-008	P1	零散切片	按位置重分组	正向	适用	手动打乱分组/顺序	按位置重分组	点击按钮	按从上到下分组、组内从左到右；选择状态合理	单元+Playwright	未执行	Nightly	待分配	—	—	—	—
SCT-009	P1	零散切片	统一裁剪框	正向	适用	同组框尺寸不同	统一裁剪框	选择多个框；执行	目标框统一且底部中心对齐；不越源图边界	单元+Playwright	未执行	Nightly	待分配	—	—	—	—
SCT-010	P1	零散切片	小切片筛选阈值	参数化	适用	存在不同面积框	15%、30%、50%	逐个选择阈值并点击“选择小切片”	选中集合严格符合相对最大面积阈值	单元+Playwright	未执行	Nightly	待分配	—	—	—	—
SCT-011	P0	零散切片	分组播放	正向	适用	至少 2 组	播放本组、播放全部	依次播放/暂停	顺序按组及帧卡顺序；按钮状态和画布同步	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 实际播放本组与播放全部均推进 data-frame-index，停止后预览隐藏，顺序与按钮状态正确。
SCT-012	P0	零散切片	智能抠图与统一画布	参数化	适用	一组尺寸不同切片	开/关智能抠图；开/关统一画布	导出并检查图片	抠图开时背景透明；统一画布开时组内同尺寸且底部居中	像素+ZIP/PNG 校验	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 智能抠图像素校验与统一画布交接 PNG 解码通过；开关关闭后输出尺寸恢复差异。
SCT-013	P0	零散切片	导出所选动画组	闭环	适用	至少 2 组且只选 1 组	每行最多 8 列	导出 Sprite Sheet	只含选中组；网格计划正确；PNG 可解码	Playwright+图像校验	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 精确下载通过：取消第 2 组后选择统计为 1/2，下载文件为可解码 PNG，状态显示仅导出 1 个动画组；网格计划单元通过。
SCT-014	P1	零散切片	输出尺寸限制	异常	适用	构造超大切片组合	32767 边长、6400 万像素	尝试导出	超预算被阻止并提示；页面保持可用	单元	未执行	Nightly	待分配	—	—	—	—
SCT-015	P0	零散切片	每组一个动画加入项目	闭环	适用	2 个选中组	名称 sprites	选择 separate；加入项目；完成预检；刷新；进入项目中心查询；打开两个目标动画	创建 2 个动画；刷新后项目仍可查询；两个动画的分组、帧数和帧顺序正确	API+Playwright	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 真实 handoff 通过：两组各 2 帧写入同一新项目的 2 个动画；两个深链参数同项目，打开与刷新后均为 2 帧。
SCT-016	P0	零散切片	合并为一个动画加入项目	闭环	适用	2 个选中组	merge；名称最多 80 字符	选择 merge；加入项目；刷新或关闭重开；进入项目中心查询；打开目标动画	创建 1 个动画；项目跨刷新恢复；顺序为组从上到下、组内从左到右；全部帧底部居中	API+Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 真实 handoff 通过：merge 写入 1 个 4 帧动画，打开与刷新后保持 4 帧；统一画布底部居中由交接 PNG 尺寸与核心单元覆盖。
SCT-017	P1	零散切片	加入项目像素预算	异常	适用	总帧像素接近限制	2400 万、超 2400 万	分别加入项目	边界内成功；超出阻止且不产生半成品	单元+API	未执行	Nightly	待分配	—	—	—	—
SCT-018	P0	零散切片	清空素材确认	破坏性	适用	已有识别和分组	清空素材	取消一次；再确认	取消保持全部状态；确认移除源图、框、分组和预览	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 精确确认链通过：取消后源图和 4 帧保持；确认后源图、切片卡、分组选择与预览状态全部清空。
WMK-001	P0	视频去水印	视频载入与元数据	正向	适用	打开去水印页	320×180、12 FPS MP4	载入视频	显示文件名、320×180、12 FPS 和正确时长；播放可用	Playwright+FFmpeg fixture	通过	Release	待分配	2026-08-09	—	—	Edge 使用 FFmpeg 生成的 320×180、12 FPS MP4 完成载入，元数据显示正确并可进入修复流程。
WMK-002	P0	视频去水印	1 GB 上传限制	边界	适用	具备稀疏/模拟请求	1 GB、1 GB+1 byte	分别上传或 API 模拟 Content-Length	边界内进入解析；超出返回 413 和“视频超过 1 GB 限制”	API	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	服务端上传链精确检查 Content-Length 与落盘后实际大小，1 GB 为允许边界、超出返回 413；错误文案与前端预检一致。
WMK-003	P0	视频去水印	矩形选区创建与上限	边界	适用	视频已加载	8、9 个区域	连续画框	前 8 个成功；第 9 个阻止并提示上限	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	区域验证单元通过：最多 8 个，越界数量稳定报错；Edge 矩形区域创建与导出链通过。
WMK-004	P1	视频去水印	角落快捷选区	参数化	适用	视频已加载	左上/右上/左下/右下	依次点击并检查坐标	区域位于对应角落、尺寸合法、默认时段约 3 秒	Playwright	未执行	Nightly	待分配	—	—	—	—
WMK-005	P0	视频去水印	区域时间参数	边界	适用	视频已加载且有区域	开始 0/末尾；结束边界；当前	编辑时间并点击“当前”	值限制在视频时长内；最小间隔=max(0.04,1/FPS)	单元+Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	时间参数单元覆盖末帧、时长范围与 FFmpeg 安全最小间隔；Edge 12 FPS 真实视频元数据链通过。
WMK-006	P1	视频去水印	键盘移动缩放删除	可访问性	适用	选中一个区域	方向键、Shift+方向键、Delete	执行键盘操作	普通方向键移动；Shift 调整尺寸；Delete 删除	Playwright	未执行	Nightly	待分配	—	—	—	—
WMK-007	P0	视频去水印	矩形修复导出	闭环	适用	视频有明显角落标记和区域	CRF 18	选择矩形修复；导出；等待下载	进度到 100%；输出 MP4 可播放；目标区域被修复；音轨保留	Playwright+FFmpeg 验证	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 使用真实 320×180/12 FPS MP4 完成矩形修复，进度完成并下载；ffprobe 确认可播放，目标区域亮度变化符合修复。
WMK-008	P0	视频去水印	智能白印导出	闭环	适用	视频含静态白印和前景遮挡	参考帧 0.5 秒	选择智能白印；选模板区域；导出	输出可播放；模板像素修复；遮挡前景尽量保留	Playwright+视觉	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 同一真实视频完成智能白印修复并下载；模板区域像素统计变化且输出可播放。
WMK-009	P1	视频去水印	参考帧参数边界	边界	适用	智能模式且有区域	0、时长、负数、超时长	输入并导出	合法边界接受；非法值约束/报错；旧下载链接失效	Playwright	未执行	Nightly	待分配	—	—	—	—
WMK-010	P1	视频去水印	重绘标题参数边界	参数化	适用	智能模式	文字 100 字；字号 8/400；描边 0/50；X/Y 0；颜色 #ffdf22	开启标题；设置边界；导出	边界接受；指定时间后标题位置、颜色、描边正确	Playwright+视觉	未执行	Nightly	待分配	—	—	—	—
WMK-011	P1	视频去水印	清除区域与清空视频	破坏性	适用	已有视频和区域	全部清除、清空视频	清除区域；清空视频先取消再确认	区域清除不删视频；取消保持视频；确认清空全部源状态	Playwright	未执行	Nightly	待分配	—	—	—	—
WMK-012	P1	视频去水印	导出串行与取消	并发	适用	可创建两个任务	任务 A、B	启动 A；再启动 B；取消活动任务	服务串行执行；取消状态准确；无残留错误下载	API+Playwright	未执行	Nightly	待分配	—	—	—	—
LIC-001	P0	授权	无效激活码	异常	适用	打开授权面板	XSXB-NOT-VALID	输入并激活	显示明确失败；面板保持；不生成已授权状态	Playwright	通过	PR	待分配	2026-08-09	—	—	Edge 回归显示 Invalid activation code、错误状态，输入仍可用且未激活。
LIC-002	P0	授权	有效激活码	闭环	部分适用	取得有效测试码	有效测试码	输入并激活	显示方案、有效期；授权 cookie/状态生效	Playwright	通过	Release	待分配	2026-08-09	—	—	使用 E2E 专用测试码完成激活；方案徽标、成功状态和刷新后持久化均通过。
LIC-003	P1	授权	激活码长度和空白	边界	适用	授权面板已打开	空；前后空格；512/513 字符	分别提交	空值阻止；空白处理一致；最大长度受控	Playwright	未执行	Nightly	待分配	—	—	—	—
LIC-004	P0	授权	Pro 导出拦截与续接	闭环	适用	使用任一 Pro 参数且未激活	例如局部修复	尝试导出；完成激活	首次弹授权；编辑不丢失；激活后继续导出	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	激活控制器覆盖高级产出首次触发、编辑状态保留文案、兑换后 promise 续接；本地授权页面无效码/有效码持久化 Edge 链通过。
LIC-005	P1	授权	设备名额替换流程	边界	部分适用	设备名额已满	新设备	在新设备激活；翻页；选择替换	显示设备列表；替换成功；被替换设备失效	API+Playwright	未执行	Nightly	待分配	—	—	—	需要受控授权
LIC-006	P1	授权	解绑当前设备	破坏性	部分适用	当前设备已激活	当前设备	点击解绑；取消一次；再确认	取消保持授权；确认解绑并更新状态	Playwright	未执行	Nightly	待分配	—	—	—	需要有效授权
ADM-001	P0	管理员后台	登录校验	权限	部分适用	后台登录页可访问	合法用户名+6 位 TOTP；非法格式	分别登录	合法进入后台；非法用户名/TOTP 阻止且不泄露细节	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	管理员定向单元通过：合法用户名+当前 TOTP 建立 4 小时 HttpOnly 会话；非法用户名、TOTP 重放和暴力尝试均阻止且不泄露字段。
ADM-002	P1	管理员后台	批量创建数量边界	边界	部分适用	已登录	1、100、0、101	创建激活码	1/100 成功且数量准确；0/101 被阻止	API+Playwright	未执行	Nightly	待分配	—	—	—	后台测试环境
ADM-003	P1	管理员后台	有效期和设备数边界	参数化	部分适用	已登录	天数 1/永久；设备 1/不限；兑换截止永久	创建并查询	授权属性与输入一致；永久值不会意外过期	API	未执行	Nightly	待分配	—	—	—	后台测试环境
ADM-004	P1	管理员后台	筛选搜索复制	正向	部分适用	已登录且有授权数据	激活码/试用；设备/地区关键词	切换筛选；搜索；复制所选/全部	列表和计数准确；剪贴板内容与选择一致	Playwright	未执行	Nightly	待分配	—	—	—	后台测试环境
ADM-005	P0	管理员后台	批量撤销恢复删除	破坏性	部分适用	已登录且有测试授权	选择 2 条	撤销；恢复；删除；每步核对	状态批量更新准确；删除需确认且只影响所选	API+Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	管理员仓储定向单元通过：选择批次的到期更新、撤销、恢复与删除仅作用目标记录；批量设备查询保持 D1 参数上限。
FLOW-001	P0	端到端连贯性	图片建项到导出完整链路	跨模块闭环	适用	清空测试浏览器项目；准备 2 张 PNG	项目 Flow Project；角色 Hero；动画 idle；12 FPS	首页进入项目中心；新建项目；导入图片；进入工作台调参并保存；返回项目中心查询；重新打开；导出 PNG ZIP	同一项目、角色、动画和 2 帧在各页面一致；调参刷新后保持；ZIP 文件与工作台一致	Playwright+ZIP 校验	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	真实 PNG 项目闭环已通过：建项、2 帧、调参保存、刷新、项目中心查询、重新打开及 PNG/Sprite Sheet ZIP 一致。
FLOW-002	P0	端到端连贯性	切片分组加入项目后查询	跨模块闭环	适用	切片页已识别 2 个动画组；目标项目存在	separate；每组至少 2 帧	选择两组；加入指定项目；完成预检；刷新；进入项目中心查询；分别打开两个动画	成功提示对应真实写入；项目可查询；两个动画均存在；组顺序、帧数和帧序正确	Playwright	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 切片 separate 真实闭环通过：2 个动画实际写入一个新项目，成功链接、组序、帧数与刷新后查询一致。
FLOW-003	P0	端到端连贯性	切片项目跨关闭重开恢复	持久化闭环	适用	IndexedDB 可用；已将切片合并到新浏览器项目	merge；3–5 帧 PNG	记录项目和动画；刷新；关闭页面；在同一浏览器持久化上下文重新访问站点；进入项目中心并打开目标动画	IndexedDB 恢复项目注册表、动画和全部帧；查询与编辑正常；不出现空项目假象	Playwright 同一持久化浏览器上下文	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 切片 merge 新项目打开与刷新保持 4 帧；浏览器存储定向单元确认 IndexedDB 恢复注册表、动画与全部帧。
FLOW-004	P0	端到端连贯性	大于 300 帧视频进入项目	跨模块回归	适用	准备低分辨率长视频；目标项目存在	预计 301 帧	视频抽帧 301 帧；预览首尾帧；加入项目；刷新；查询项目；打开动画	旧 300 帧限制不再拦截；项目内 301 帧完整且顺序正确；刷新后仍可查询	Playwright+视频 fixture	通过	Nightly	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	16×16、60 FPS、H.264、恰好 301 帧视频在 Edge 实际提取 301 帧；工作集无 300 帧拦截，浏览器原子交接/IndexedDB 持久化路径定向回归通过。
FLOW-005	P0	端到端连贯性	抠图替换到保存导出	跨模块闭环	适用	项目动画含调参和帧关联；从工作台进入抠图	2–3 帧；背景样本；局部修正	完成批量抠图；替换当前动画；保存；刷新；项目中心重新打开；导出 ZIP	抠图像素、帧数、调参和关联数据保持；刷新和导出结果一致	Playwright+像素/ZIP 校验	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	批量抠图 2 帧动画替换真实闭环通过：取消无变化，确认后像素变化、调参与关联保留，刷新和 ZIP 导出一致。
FLOW-006	P0	端到端连贯性	序列编辑结果全链路一致	数据一致性	适用	项目动画至少 6 帧	排序、减帧、翻转组合	在序列处理重排、减帧并翻转；应用当前动画；保存；刷新；重新打开；导出	网格、预览、工作台、刷新后状态和 ZIP 的帧序及翻转结果完全一致	API+Playwright+ZIP 校验	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	序列 4→2 帧排序/减帧/翻转组合精确通过；预览、工作台、刷新、ZIP 及调参/框体/音频/附件重映射一致。
FLOW-007	P0	端到端连贯性	多项目导入与数据隔离	跨项目状态	适用	已创建项目 A 和 B	A：切片动画；B：图片动画	向 A 加入切片；向 B 加入图片；反复切换；刷新；分别查询和打开	项目、动画、帧、调参和活动项目互不串写；URL 与当前项目一致	Playwright 多项目	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	多项目生命周期精确回归通过：项目切换、清空/删除确认、活动项目、URL、动画数据和调参均隔离。
FLOW-008	P0	端到端连贯性	新项目交接与深链打开	跨模块闭环	适用	快速工具已有可加入工作集	新项目 Handoff Project	交接时选择新建项目；完成写入；检查成功目标链接；进入项目中心查询；使用深链打开动画	项目只创建一次；注册表可查询；成功链接 project/animation 参数正确并打开真实动画	Playwright	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 切片新项目交接通过：项目只创建一次，两个成功链接共享 project 参数且 animation 各自唯一；深链可打开真实动画并跨刷新保持。
FLOW-009	P1	端到端连贯性	项目冲突修正后重试	异常恢复	适用	目标项目已有同名动画；切片工作集未写入	同名 idle → 改名 run	提交触发冲突；修改动画名；重新预检并提交；查询项目	冲突期间切片和目标选择保留；重试只写入一次 run；idle 不被覆盖	Playwright+API	未执行	Nightly	待分配	—	—	—	—
FLOW-010	P1	端到端连贯性	IndexedDB 不可用或配额不足	异常恢复	适用	可拦截 IndexedDB open/put	DOMException(name=QuotaExceededError)；IndexedDB open failure	加入浏览器项目；分别在 open 与 put 阶段注入失败；确认失败状态；恢复 IndexedDB 后重试	首次不显示虚假成功且不产生半成品；事务回滚；切片工作集保留；恢复后可成功且只写入一次	Playwright 注入+单元	未执行	Nightly	待分配	—	—	—	显式覆盖打开失败与配额异常
FLOW-011	P1	端到端连贯性	写入成功但工作台刷新失败	异常恢复	适用	拦截写入后的 loadConfig 刷新	任意 2 帧工作集	完成项目写入；让后续工作台刷新失败；手动刷新并查询目标项目	提示区分“已写入”和“刷新失败”；项目数据真实存在；手动刷新后可打开	Playwright route mock	未执行	Nightly	待分配	—	—	—	—
FLOW-012	P1	端到端连贯性	项目交接断网恢复重试	异常恢复	适用	工作集和目标选择已完成；可切换离线	预检或应用阶段断网	提交时断网；检查状态；恢复网络；不重新导入素材直接重试；查询项目	本地工作集和目标选择不丢失；错误可恢复；最终只写入一次且无半成品	Playwright route	未执行	Nightly	待分配	—	—	—	—
FLOW-013A	P1	端到端连贯性	服务端多标签修订冲突	并发一致性	本地优先	本地/API 服务可用；同项目在两个客户端打开；各自准备工作集	相同 baseRevision	两个客户端完成预检；近同时调用应用接口；重新查询项目	至少一方收到 revision_conflict 或要求重新预检；最终项目一致；不静默覆盖或重复写入	API 并发+Playwright 多页	未执行	Nightly	待分配	—	—	—	API/本地环境优先；验证服务端乐观锁
